,mean,reps,sem,std,norm.GR,norm.GR_sem
acpS_3_204_B_MM12,-0.16160030554929708,6.0,0.011690779340394033,0.02863644407943667,0.8693640431123321,0.009450700855445233
acpS_3_204_B_MM13,-0.1783586699761047,6.0,0.007860061519614192,0.019253140069939723,0.8558167607273962,0.006353989581396575
acpS_3_204_B_MM14,-0.1902320518133894,6.0,0.017413340665853292,0.04265379934859683,0.8462184459684358,0.014076758164301498
acpS_3_204_B_MM2,-0.15048116040145287,5.0,0.011441148369758186,0.025583185495440204,0.878352641006526,0.009248901851371798
acpS_3_204_B_MM3,-0.14091971853884513,5.0,0.014239735763536305,0.03184101714890205,0.886082008241952,0.011511249938383565
acpS_3_204_B_MM4,-0.158494228406579,6.0,0.014430189303886329,0.03534660068628909,0.8718749626203532,0.011665210541376852
acpS_3_204_B_MM5,-0.1234235723953897,5.0,0.010173018073848463,0.02274755994945914,0.9002257054678184,0.008223758896961532
acpS_3_204_B_MM6,-0.11650699102089886,5.0,0.011326860362668039,0.025327629742573656,0.9058169958009448,0.00915651265002557
acpS_3_204_B_MM7,-0.12357113462797972,4.0,0.02404769455505548,0.04809538911011096,0.9001064177388173,0.019439898819892408
acpS_3_204_B_MM8,-0.17499891740143247,6.0,0.013574290516406474,0.033250085385496626,0.8585327487387198,0.010973311124965681
acpS_3_204_B_MM9,,,,,,
acpS_3_204_C,-0.31011327040664133,6.0,0.01736975077850896,0.04254702636665781,0.7493077523249033,0.014041520566052556
acpS_3_204_D_MM2-8,-0.19335832632714883,5.0,0.008707890196727767,0.019471434420487304,0.843691199121901,0.007039365206987521
acpS_3_204_D_MM3-10,-0.1685825538419336,5.0,0.009656426110971403,0.021592425203835988,0.8637196683456173,0.0078061514848868285
acpS_3_204_D_MM4-6,-0.18257062286795148,6.0,0.013922212530394572,0.03410231679004894,0.8524118631034597,0.01125456755616565
acpS_3_204_D_MM7-9,-0.16742948754773324,4.0,0.016173630667071465,0.03234726133414293,0.864651794792939,0.013074589873817237
acpS_3_204_D_MM9-19,-0.5087890205715164,6.0,0.05292824435035171,0.1296471916397082,0.5887004029455655,0.04278662607468425
acpS_3_204_W_MM1,-0.1880062286893006,4.0,0.005197833125652842,0.010395666251305684,0.8480177775519353,0.004201872649955705
acpS_3_204_W_MM10,-0.285511218649399,5.0,0.005472195741313329,0.01223620166376146,0.7691957875720079,0.004423664451086165
acpS_3_204_W_MM11,-0.36272732173208255,6.0,0.024204028440546754,0.05928751939915159,0.7067751165277566,0.019566277459188295
acpS_3_204_W_MM13,-0.15526624605887693,6.0,0.006239306524390258,0.015283117333574096,0.8744844289909469,0.0050437885953164025
acpS_3_204_W_MM16,-0.15025335932517295,5.0,0.010971444124313669,0.024532894873306017,0.8785367929577165,0.008869197968082257
acpS_3_204_W_MM19,-0.4386075046325825,6.0,0.019903191354132814,0.04875266307059916,0.6454343890562101,0.01608952680397211
acpS_3_204_W_MM2,-0.2694622222562666,6.0,0.024309533969763618,0.05954595411077521,0.782169624433127,0.019651566999448356
acpS_3_204_W_MM20,-0.031895352172080844,5.0,0.007908530442741212,0.017684011672095858,0.9742161387807657,0.006393171339936515
acpS_3_204_W_MM3,-0.20526006118195314,6.0,0.00886682224761835,0.02171919014662283,0.8340699640871296,0.007167844175375839
acpS_3_204_W_MM4,-0.2086773861081699,6.0,0.014197054969936734,0.03477554052658897,0.8313074352031962,0.011476747241784985
acpS_3_204_W_MM5,-0.2749023896068911,6.0,0.010849381043822562,0.026575447582389614,0.7777718513901726,0.008770523480639857
acpS_3_204_W_MM6,-0.2840884870356177,6.0,0.014230732185409519,0.03485803252045505,0.7703459085765993,0.011503971542219599
