,mean,reps,sem,std,norm.GR,norm.GR_sem
aroB_3_204_W_MM6,0.026268986521322646,4.0,0.009265295305287014,0.01853059061057403,1.0224264871895734,0.007910013060571347
aroB_3_204_W_MM7,0.0712813357733153,3.0,0.011602230354527808,0.02009565245516003,1.0608546493515598,0.009905112639389252
aroB_3_204_W_MM8,0.10354824355413436,5.0,0.018443057377029542,0.041239930007967024,1.0884017111084463,0.015745296822425595
aroB_3_204_W_MM9,0.11439334308859614,5.0,0.016928448690160202,0.037853162024815486,1.097660442334405,0.014452237713132568
aroE_1_28_B_MM10,-0.196249897842916,6.0,0.011500718761867292,0.02817089264182798,0.8324565808293823,0.00981844966780691
aroE_1_28_B_MM11,0.021180561303793213,4.0,0.012417499192852371,0.024834998385704743,1.0180823720154537,0.010601127925091401
aroE_1_28_B_MM12,-0.017999077948932313,6.0,0.012632768393423761,0.03094383660264703,0.9846337394585735,0.010784908596074094
aroE_1_28_B_MM13,-0.030655987771219598,6.0,0.008531000590529353,0.020896598442178886,0.9738282207242016,0.007283127398251739
aroE_1_28_B_MM14,,,,,,
aroE_1_28_B_MM2,-0.25849891522429286,6.0,0.015828531826497003,0.03877182635232149,0.7793130463525639,0.01351321132806377
aroE_1_28_B_MM3,-0.2221881901301019,6.0,0.008781399563184243,0.021509948157300483,0.8103124155329474,0.007496899229455393
aroE_1_28_B_MM4,-0.22037131963172094,6.0,0.009111382332521034,0.02231823756608614,0.8118635230689759,0.007778613727397849
aroE_1_28_B_MM5,-0.14204707643868075,4.0,0.006117801995938476,0.012235603991876952,0.8787308776650875,0.005222919733842606
aroE_1_28_B_MM6,-0.1288532003871439,4.0,0.007154832211410486,0.014309664422820972,0.8899948178254906,0.006108258223152269
aroE_1_28_B_MM7,-0.05218875619902168,5.0,0.013256926070911172,0.029643387867246577,0.9554451607264289,0.01131776753020478
aroE_1_28_B_MM8,-0.123215045062825,4.0,0.009012426427230762,0.018024852854461523,0.894808251265377,0.007694132609691858
aroE_1_28_B_MM9,-0.10480685313104351,5.0,0.011834772128156881,0.026463354976778642,0.9105237825899758,0.01010363933561714
