Well,Fluor,Target,Content,Sample,Cq,SQ
L08,SYBR,,Unkn,,,
L09,SYBR,,Unkn,,,
L10,SYBR,,Unkn,,,
L11,SYBR,,Unkn,,,
L12,SYBR,,Unkn,,,
L13,SYBR,,Unkn,,,
L14,SYBR,,Unkn,,,
L15,SYBR,hcaT,Unkn,serC_11,24.42,
L16,SYBR,hcaT,Unkn,serC_12,,
L17,SYBR,hcaT,Unkn,serC_negC,25.02,
L18,SYBR,,Unkn,,,
L19,SYBR,,Unkn,,,
L20,SYBR,,Unkn,,,
L21,SYBR,,Unkn,,,
L22,SYBR,,Unkn,,,
L23,SYBR,,Unkn,,,
L24,SYBR,,Unkn,,,
M01,SYBR,,Unkn,,,
M02,SYBR,,Unkn,,,
M03,SYBR,,Unkn,,,
M04,SYBR,,Unkn,,,
M05,SYBR,,Unkn,,,
M06,SYBR,,Unkn,,,
M07,SYBR,,Unkn,,,
M08,SYBR,,Unkn,,,
M09,SYBR,,Unkn,,,
M10,SYBR,,Unkn,,,
M11,SYBR,,Unkn,,,
M12,SYBR,,Unkn,,,
M13,SYBR,,Unkn,,,
M14,SYBR,,Unkn,,,
M15,SYBR,,Unkn,,,
M16,SYBR,,Unkn,,,
M17,SYBR,,Unkn,,,
M18,SYBR,,Unkn,,,
M19,SYBR,,Unkn,,,
M20,SYBR,,Unkn,,,
M21,SYBR,,Unkn,,,
M22,SYBR,,Unkn,,,
M23,SYBR,,Unkn,,,
M24,SYBR,,Unkn,,,
N01,SYBR,,Unkn,,,
N02,SYBR,,Unkn,,,
N03,SYBR,,Unkn,,,
N04,SYBR,,Unkn,,,
N05,SYBR,,Unkn,,,
N06,SYBR,,Unkn,,,
N07,SYBR,,Unkn,,,
N08,SYBR,,Unkn,,,
N09,SYBR,,Unkn,,,
N10,SYBR,,Unkn,,,
N11,SYBR,,Unkn,,,
N12,SYBR,,Unkn,,,
N13,SYBR,,Unkn,,,
N14,SYBR,,Unkn,,,
N15,SYBR,,Unkn,,,
N16,SYBR,,Unkn,,,
N17,SYBR,,Unkn,,,
N18,SYBR,,Unkn,,,
N19,SYBR,,Unkn,,,
N20,SYBR,,Unkn,,,
N21,SYBR,,Unkn,,,
N22,SYBR,,Unkn,,,
N23,SYBR,,Unkn,,,
N24,SYBR,,Unkn,,,
O01,SYBR,,Unkn,,,
O02,SYBR,,Unkn,,,
O03,SYBR,,Unkn,,,
O04,SYBR,,Unkn,,,
O05,SYBR,,Unkn,,,
O06,SYBR,,Unkn,,,
O07,SYBR,,Unkn,,,
O08,SYBR,,Unkn,,,
O09,SYBR,,Unkn,,,
O10,SYBR,,Unkn,,,
O11,SYBR,,Unkn,,,
O12,SYBR,,Unkn,,,
O13,SYBR,,Unkn,,,
O14,SYBR,,Unkn,,,
O15,SYBR,,Unkn,,,
