Well,Fluor,Target,Content,Sample,Cq,SQ,"**Wells were also used for a separate experiment, or were done following a different protocol. Labels indicates which measurements were made for this analysis."
K09,SYBR,,Unkn,,NaN,NaN,
K10,SYBR,,Unkn,,NaN,NaN,
K11,SYBR,,Unkn,,NaN,NaN,
K12,SYBR,,Unkn,,NaN,NaN,
K13,SYBR,,Unkn,,NaN,NaN,
K14,SYBR,,Unkn,,NaN,NaN,
K15,SYBR,,Unkn,,NaN,NaN,
K16,SYBR,,Unkn,,NaN,NaN,
K17,SYBR,,Unkn,,NaN,NaN,
K18,SYBR,,Unkn,,NaN,NaN,
K19,SYBR,,Unkn,,NaN,NaN,
K20,SYBR,,Unkn,,NaN,NaN,
K21,SYBR,,Unkn,,NaN,NaN,
K22,SYBR,,Unkn,,NaN,NaN,
K23,SYBR,,Unkn,,NaN,NaN,
K24,SYBR,,Unkn,,NaN,NaN,
L01,SYBR,,Unkn,,NaN,NaN,
L02,SYBR,,Unkn,,NaN,NaN,
L03,SYBR,,Unkn,,NaN,NaN,
L04,SYBR,,Unkn,,NaN,NaN,
L05,SYBR,,Unkn,,NaN,NaN,
L06,SYBR,,Unkn,,NaN,NaN,
L07,SYBR,,Unkn,,NaN,NaN,
L08,SYBR,,Unkn,,NaN,NaN,
L09,SYBR,,Unkn,,NaN,NaN,
L10,SYBR,,Unkn,,NaN,NaN,
L11,SYBR,,Unkn,,NaN,NaN,
L12,SYBR,,Unkn,,NaN,NaN,
L13,SYBR,,Unkn,,NaN,NaN,
L14,SYBR,,Unkn,,NaN,NaN,
L15,SYBR,,Unkn,,NaN,NaN,
L16,SYBR,,Unkn,,NaN,NaN,
L17,SYBR,,Unkn,,NaN,NaN,
L18,SYBR,,Unkn,,NaN,NaN,
L19,SYBR,,Unkn,,NaN,NaN,
L20,SYBR,,Unkn,,NaN,NaN,
L21,SYBR,,Unkn,,NaN,NaN,
L22,SYBR,,Unkn,,NaN,NaN,
L23,SYBR,,Unkn,,NaN,NaN,
L24,SYBR,,Unkn,,NaN,NaN,
M01,SYBR,,Unkn,,NaN,NaN,
M02,SYBR,,Unkn,,NaN,NaN,
M03,SYBR,,Unkn,,NaN,NaN,
M04,SYBR,,Unkn,,NaN,NaN,
M05,SYBR,,Unkn,,NaN,NaN,
M06,SYBR,,Unkn,,NaN,NaN,
M07,SYBR,,Unkn,,NaN,NaN,
M08,SYBR,,Unkn,,NaN,NaN,
M09,SYBR,,Unkn,,NaN,NaN,
M10,SYBR,,Unkn,,NaN,NaN,
M11,SYBR,,Unkn,,NaN,NaN,
M12,SYBR,,Unkn,,NaN,NaN,
